,ERA5,ERA5-Land,JRA55,CFSR,HARv2,TerraClimate
1990-01-01,0.26429969745597903,0.29802328361551617,0.21305368127864838,-0.23668809950914102,0.3061603341844178,0.10895637231542084
1990-02-01,0.36130844314660876,0.4048356108355697,0.19219641605067633,-0.275868613239112,0.39445741086291425,0.1566371279855034
1990-03-01,0.4853097551869432,0.4988761980491385,0.11015021796900216,-0.31163970178725714,0.5095533114610556,0.33585510046079037
1990-04-01,0.6975670329754233,0.6898768701356063,0.21921748911025207,-0.14994508414033755,0.7210776375322671,0.5140611125875756
1990-05-01,0.7325518834004758,0.654868736214077,0.23386478183466566,-0.023808885789442326,0.6883457636540457,0.6859501969453697
1990-06-01,0.5787159800152495,0.4111749298442118,0.2964356551066913,-0.03387274815492866,0.453591962209537,0.6489373937983373
1990-07-01,0.39525993239798934,0.20886388819157878,-0.018903298991475557,-0.11645318954634122,0.14098185102196348,0.48554288907667736
1990-08-01,0.038746292709953396,-0.058067062873110725,-0.3757741922928249,-0.4810887832164465,-0.18920354757601615,0.19811657382080794
1990-09-01,0.16914043446028273,0.1630580231931737,-0.006130324952369422,-0.4202245532366902,0.09658150564308557,0.08380359594514471
1990-10-01,0.4002958515860446,0.29051529540507515,-0.031220466468741537,-0.3533323800166978,0.292235512429664,0.13432409134504025
1990-11-01,0.15699518223260073,0.012617046527908467,-0.20892414520288916,-0.5193869740859578,0.11510065133023853,-0.09362048156748547
1990-12-01,0.11515401059007811,-0.07176984140682151,-0.15541786936132326,-0.6684377012831123,0.12959726296551047,0.0902311546525875
1991-01-01,0.17075985737275343,0.04694158226280926,0.03320333580236507,-0.5663665097063207,0.20487652526827577,0.20402471835693414
1991-02-01,0.1795513321674895,0.030386615254053922,0.00721695639542592,-0.5813079977109962,0.19278551606667851,0.2137567415156314
1991-03-01,0.2471113915314058,0.11428799981234827,-0.060104571019812245,-0.5740075541457607,0.21193736805109012,0.21794980602539238
1991-04-01,0.2841209086952849,0.09026826985204911,-0.20142789289166493,-0.7299410003661629,0.21949093404767028,0.17454764171651577
1991-05-01,0.33188495745488755,0.05487692682512516,-0.1452985046611491,-0.7425618760128326,0.2494711718196342,0.10054296816742167
1991-06-01,0.3773910339384778,0.09507224838987523,-0.024353463461365316,-0.571455135614013,0.25512425151295043,0.08388226112698811
1991-07-01,0.3063777097485791,-0.039439877852391274,0.15214355897144005,-0.5368584447550652,0.025911574913171663,0.03967175422938644
1991-08-01,0.4229506763096413,0.38069282272823635,0.054865959584183305,-0.2444233106535565,0.2533959844718412,0.04100666599812109
1991-09-01,0.1572674326847168,0.2578628868077448,-0.19611612917933566,-0.26552304964904827,0.18919585636750738,0.034547084945566
1991-10-01,-0.1611459774022964,-0.04990432970033103,-0.5244887338945541,-0.48128995282525755,-0.07782432049776795,-0.4542785505559112
1991-11-01,-0.2097755836996891,-0.22003994165726296,-0.38167566888493304,-0.5781499908227248,-0.24263905142855668,-0.5241325231811822
